#,App name,Category,Distance value,Predict,Risk
285,drink roulette 🍻 drinking games app,Entertainment,0.08374558303886918,0,0
286,voir films et séries hd _streaming gratuit,Entertainment,0.06315789473684211,0,0
287,mod-master for minecraft pe - mcpe,Entertainment,0.0648394969025718,0,0
288,virgin australia entertainment,Entertainment,0.06688417618270794,0,0
289,national lottery results,Entertainment,0.06566250882560601,0,0
290,grand theft auto v: the manual,Entertainment,0.07709829165635051,0,0
291,rtlplay,Entertainment,0.06380627336258735,0,0
292,mutant creatures mods for minecraft - addons free,Entertainment,0.061714285714285715,0,0
293,quizxpress smart buzzer,Entertainment,0.07758846657929229,0,0
294,tv4 play,Entertainment,0.0657298985167837,0,0
295,dash streamz,Entertainment,0.07203497391059088,0,0
296,rtbf auvio : direct et replay,Entertainment,0.06631783889024094,0,0
297,textingstory - chat story maker,Entertainment,0.053828929690998735,0,0
298,tv vlaanderen,Entertainment,0.06607325259010642,0,0
299,nlziet | online tv-kijken,Entertainment,0.06959814853776553,0,0
300,head light for mcpe,Entertainment,0.06470099667774086,0,0
301,stream complet - voir films en streaming gratuit,Entertainment,0.07494824016563147,0,0
302,tnt france direct - guide programme tv,Entertainment,0.0673449477351916,0,0
303,iplay-tv tv,Entertainment,0.07534485492310125,0,0
304,zanime free anime app hd 2021 gogo anime sub dub,Entertainment,0.06525484565685566,0,0
305,rl trading post,Entertainment,0.06385919447143937,0,0
306,diy slime simulator asmr,Entertainment,0.06752312435765674,0,0
307,sandbox pixel coloring,Entertainment,0.07310167310167304,0,0
308,télésat,Entertainment,0.06607325259010642,0,0
309,"6play, tv en direct et replay",Entertainment,0.06403265306122448,0,0
310,proximus pickx,Entertainment,0.08039532794249768,0,0
311,unlock!,Entertainment,0.07863577863577856,0,0
312,betaseries - tv shows & movies,Entertainment,0.06533066132264523,0,0
313,voir films et séries hd + cast - streaming gratuit,Entertainment,0.06285714285714286,0,0
314,aptitude test. personality test games,Entertainment,0.06614987080103359,0,0
315,my free robux roblox skins inspiration – robinskin,Entertainment,0.06922547332185883,0,0
316,anti stress app | stress relief games fidget cubes,Entertainment,0.0649772579597141,0,0
317,paint free,Entertainment,0.07648809523809531,0,0
318,girls skins for roblox,Entertainment,0.06796242306446387,0,0
319,color by number - no.draw,Entertainment,0.06504824151882972,0,0
320,lovecalc,Entertainment,0.0853237878294825,0,0
321,cm rewards,Entertainment,0.05164152617568767,0,0
322,bellen met sinterklaas! (simulatie),Entertainment,0.05928085519922255,0,0
323,kflix gold watch movies- free hd movies free 2020,Entertainment,0.06943248532289628,0,0
324,fake call police - prank,Entertainment,0.05690376569037666,0,0
325,incolor - coloring book for adults,Entertainment,0.06100795755968168,0,0
326,christmas maps for minecraft pe,Entertainment,0.06324954015941138,0,0
